epoc (ms),timestamp (+0100),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1.52517E+12,2018-05-01T10.42.51.376,18.499,0.849,0.038,0.022
1.52517E+12,2018-05-01T10.42.51.457,18.58,1.046,-0.12,0.03
1.52517E+12,2018-05-01T10.42.51.537,18.66,1.19,-0.088,0.011
1.52517E+12,2018-05-01T10.42.51.618,18.741,1.316,0.092,-0.003
1.52517E+12,2018-05-01T10.42.51.700,18.823,1.026,0.751,0.191
1.52517E+12,2018-05-01T10.42.51.781,18.904,1.074,0.107,0.253
1.52517E+12,2018-05-01T10.42.51.861,18.984,0.848,-0.064,0.135
1.52517E+12,2018-05-01T10.42.51.942,19.065,0.684,0.159,0.2
1.52517E+12,2018-05-01T10.42.52.022,19.145,0.791,0.081,0.225
1.52517E+12,2018-05-01T10.42.52.103,19.226,0.982,0.01,0.242
1.52517E+12,2018-05-01T10.42.52.183,19.306,1.238,-0.063,0.417
1.52517E+12,2018-05-01T10.42.52.265,19.388,1.403,0.429,-0.036
1.52517E+12,2018-05-01T10.42.52.346,19.469,0.715,0.417,0.053
1.52517E+12,2018-05-01T10.42.52.427,19.55,1.015,0.062,-0.061
1.52517E+12,2018-05-01T10.42.52.507,19.63,0.831,0.195,0.092
1.52517E+12,2018-05-01T10.42.52.588,19.711,0.949,0.04,0.028
1.52517E+12,2018-05-01T10.42.52.668,19.791,0.991,-0.153,0.016
1.52517E+12,2018-05-01T10.42.52.750,19.873,0.961,-0.019,0.067
1.52517E+12,2018-05-01T10.42.52.831,19.954,1.269,-0.17,0.104
1.52517E+12,2018-05-01T10.42.52.911,20.034,1.372,0.299,-0.158
1.52517E+12,2018-05-01T10.42.52.992,20.115,0.821,0.697,0.343
1.52517E+12,2018-05-01T10.42.53.073,20.196,1.125,-0.243,0
1.52517E+12,2018-05-01T10.42.53.153,20.276,0.742,-0.089,0.201
1.52517E+12,2018-05-01T10.42.53.234,20.357,0.796,0.13,0.179
1.52517E+12,2018-05-01T10.42.53.316,20.439,0.832,0.028,0.208
1.52517E+12,2018-05-01T10.42.53.396,20.519,1.04,0.116,0.263
1.52517E+12,2018-05-01T10.42.53.477,20.6,1.562,0.146,0.219
1.52517E+12,2018-05-01T10.42.53.557,20.68,0.948,0.282,-0.042
