epoc (ms),timestamp (+0100),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1.52516E+12,2018-05-01T09.23.25.857,23.702,1.022,-0.028,0.153
1.52516E+12,2018-05-01T09.23.25.939,23.784,1.006,-0.006,0.161
1.52516E+12,2018-05-01T09.23.26.020,23.865,0.999,-0.024,0.16
1.52516E+12,2018-05-01T09.23.26.101,23.946,1.002,-0.07,0.15
1.52516E+12,2018-05-01T09.23.26.181,24.026,0.991,-0.035,0.132
1.52516E+12,2018-05-01T09.23.26.263,24.108,0.98,-0.01,0.14
1.52516E+12,2018-05-01T09.23.26.344,24.189,0.979,0.001,0.21
1.52516E+12,2018-05-01T09.23.26.424,24.269,0.999,-0.009,0.408
1.52516E+12,2018-05-01T09.23.26.505,24.35,0.996,-0.04,0.542
1.52516E+12,2018-05-01T09.23.26.585,24.43,0.913,-0.144,0.502
1.52516E+12,2018-05-01T09.23.26.667,24.512,0.818,-0.237,0.396
1.52516E+12,2018-05-01T09.23.26.748,24.593,0.839,-0.132,0.33
1.52516E+12,2018-05-01T09.23.26.829,24.674,0.959,-0.028,0.325
1.52516E+12,2018-05-01T09.23.26.909,24.754,1.045,-0.075,0.284
1.52516E+12,2018-05-01T09.23.26.991,24.836,1,-0.129,0.247
1.52516E+12,2018-05-01T09.23.27.072,24.917,0.939,-0.135,0.237
1.52516E+12,2018-05-01T09.23.27.152,24.997,1,-0.238,0.242
1.52516E+12,2018-05-01T09.23.27.233,25.078,0.942,-0.236,0.297
1.52516E+12,2018-05-01T09.23.27.313,25.158,0.843,-0.214,0.343
1.52516E+12,2018-05-01T09.23.27.395,25.24,0.846,-0.255,0.38
1.52516E+12,2018-05-01T09.23.27.476,25.321,0.931,-0.193,0.454
1.52516E+12,2018-05-01T09.23.27.557,25.402,1.019,-0.158,0.489
1.52516E+12,2018-05-01T09.23.27.637,25.482,1.197,0.151,0.259
1.52516E+12,2018-05-01T09.23.27.719,25.564,0.87,0.05,0.026
1.52516E+12,2018-05-01T09.23.27.800,25.645,1.05,-0.001,0.077
1.52516E+12,2018-05-01T09.23.27.880,25.725,0.948,-0.101,0.168
1.52516E+12,2018-05-01T09.23.27.961,25.806,0.924,-0.058,0.155
1.52516E+12,2018-05-01T09.23.28.041,25.886,0.988,-0.01,0.136
1.52516E+12,2018-05-01T09.23.28.124,25.969,0.935,-0.07,0.139
1.52516E+12,2018-05-01T09.23.28.204,26.049,1.044,-0.37,0.176
1.52516E+12,2018-05-01T09.23.28.285,26.13,1.219,-0.38,0.157
1.52516E+12,2018-05-01T09.23.28.365,26.21,1.257,0.536,0.153
1.52516E+12,2018-05-01T09.23.28.447,26.292,0.881,0.389,0.393
1.52516E+12,2018-05-01T09.23.28.528,26.373,0.926,-0.325,0.243
1.52516E+12,2018-05-01T09.23.28.608,26.453,0.816,-0.066,0.292
1.52516E+12,2018-05-01T09.23.28.689,26.534,0.808,0.092,0.342
1.52516E+12,2018-05-01T09.23.28.770,26.615,0.771,-0.176,0.328
1.52516E+12,2018-05-01T09.23.28.852,26.697,0.985,-0.179,0.418
1.52516E+12,2018-05-01T09.23.28.932,26.777,1.178,-0.27,0.569
1.52516E+12,2018-05-01T09.23.29.013,26.858,1.317,0.093,0.058
1.52516E+12,2018-05-01T09.23.29.093,26.938,0.816,-0.101,0.054
1.52516E+12,2018-05-01T09.23.29.174,27.019,1.129,-0.058,0.021
1.52516E+12,2018-05-01T09.23.29.256,27.101,0.875,0.227,0.081
1.52516E+12,2018-05-01T09.23.29.336,27.181,0.855,0.158,0.12
1.52516E+12,2018-05-01T09.23.29.417,27.262,1.01,-0.198,0.193
1.52516E+12,2018-05-01T09.23.29.498,27.343,1.082,-0.435,0.23
1.52516E+12,2018-05-01T09.23.29.580,27.425,1.308,-0.021,0.001
1.52516E+12,2018-05-01T09.23.29.660,27.505,1.024,0.718,0.247
1.52516E+12,2018-05-01T09.23.29.741,27.586,1.039,-0.194,0.246
1.52516E+12,2018-05-01T09.23.29.821,27.666,0.814,-0.021,0.215
1.52516E+12,2018-05-01T09.23.29.902,27.747,0.785,0.056,0.248
1.52516E+12,2018-05-01T09.23.29.984,27.829,0.866,-0.029,0.32
1.52516E+12,2018-05-01T09.23.30.064,27.909,0.926,-0.014,0.359
1.52516E+12,2018-05-01T09.23.30.145,27.99,0.978,-0.046,0.538
